Rk,Player,PTS/100 Poss.,MP,Draft Team,Round,Pick,Draft Year,College,Season,Age,Team,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional
55,Jeremiah Fears,25.7,1068,NOH,1,7,2025,Oklahoma,2025-26,19,NOP,40,38,0,-0.3,100,120,-0.9,0.5,-0.015,-2.4,-1.6,-4.1,-0.6,12.5,2.9,12.0,7.3,17.7,2.2,0.8,15.2,25.3,G,fearsje01
56,Carl Landry,25.6,711,OKC,2,31,2007,Purdue,2007-08,24,HOU,42,0,0,3.7,130,102,2.5,1.2,.251,1.6,-0.1,1.5,0.6,21.4,15.5,17.3,16.4,5.2,1.3,0.7,8.9,18.8,F,landrca01
57,Anthony Davis,25.5,1846,NOH,1,1,2012,Kentucky,2012-13,19,NOH,64,60,0,6.1,113,104,3.7,2.4,.159,1.8,0.7,2.5,2.1,21.7,10.5,23.5,16.8,6.1,2.2,5.1,10.3,21.8,F-C,davisan02
58,Dwyane Wade,25.4,2126,MIA,1,5,2003,Marquette,2003-04,22,MIA,61,56,0,4.6,101,102,2.2,2.3,.103,1.4,0.1,1.4,1.9,17.6,4.6,9.0,6.8,25.1,2.2,1.3,17.3,25.0,G,wadedw01
59,Deandre Ayton,25.4,2183,PHO,1,1,2018,Arizona,2018-19,20,PHO,71,70,0,5.8,117,113,4.1,1.7,.128,1.3,-1.1,0.2,1.2,20.5,11.1,26.1,18.5,9.6,1.3,2.6,11.7,21.2,C,aytonde01
60,Jaden Ivey,25.3,2304,DET,1,5,2022,Purdue,2022-23,20,DET,74,73,0,0.0,103,121,-0.9,0.8,-0.001,-1.4,-1.9,-3.3,-0.7,12.1,3.4,10.7,6.9,26.2,1.3,0.7,17.2,25.4,G,iveyja01
61,Salim Stoudamire,25.3,1236,ATL,2,31,2005,Arizona,2005-06,23,ATL,61,1,0,1.2,105,114,1.1,0.0,.046,-0.3,-2.3,-2.5,-0.2,12.5,1.1,10.4,5.6,10.5,1.2,0.2,13.2,22.9,G,stoudsa01
62,Pau Gasol,25.2,3007,ATL,1,3,2001,,2001-02,21,MEM,82,79,0,7.6,108,105,4.8,2.8,.121,1.5,0.2,1.7,2.8,19.5,8.8,18.2,13.5,13.8,0.7,3.9,15.0,22.6,C-F,gasolpa01
63,Mike Scott,25.2,376,ATL,2,43,2012,Virginia,2012-13,24,ATL,40,1,0,0.9,106,106,0.5,0.4,.110,-0.9,-2.6,-3.5,-0.1,16.3,12.1,21.3,16.7,5.4,0.6,0.4,10.9,23.7,F,scottmi01
64,James Wiseman,25.2,836,GSW,1,2,2020,Memphis,2020-21,19,GSW,39,27,0,0.7,100,109,-0.4,1.2,.042,-4.0,-1.0,-5.0,-0.6,13.1,7.1,21.5,14.4,4.9,0.6,3.8,12.9,23.8,C,wisemja01
65,Tyrese Maxey,25.2,935,PHI,1,21,2020,Kentucky,2020-21,20,PHI,61,8,0,1.9,110,111,0.8,1.1,.099,-1.0,-0.5,-1.5,0.1,14.5,1.3,10.8,6.1,19.9,1.3,1.2,8.2,23.0,G,maxeyty01
66,Eddie House,25.2,550,MIA,2,37,2000,Arizona State,2000-01,22,MIA,50,0,0,0.4,92,102,-0.2,0.6,.035,-2.4,-0.9,-3.3,-0.2,11.6,1.1,8.0,4.5,19.4,1.3,0.0,11.8,26.2,G,houseed01
67,Brandon Clarke,25.1,1300,OKC,1,21,2019,Gonzaga,2019-20,23,MEM,58,4,0,5.0,127,109,3.4,1.6,.183,2.4,0.7,3.1,1.7,20.9,7.6,20.1,14.0,9.5,1.1,3.2,9.4,18.7,F,clarkbr01
68,Yao Ming,25.1,2382,HOU,1,1,2002,,2002-03,22,HOU,82,72,1,8.7,111,100,5.2,3.5,.176,1.3,0.9,2.2,2.5,20.6,9.7,22.6,16.3,10.6,0.7,4.4,15.2,22.1,C,mingya01
69,Lauri Markkanen,25.0,2020,MIN,1,7,2017,Arizona,2017-18,20,CHI,68,68,0,3.3,107,110,1.7,1.6,.079,1.0,-1.2,-0.2,0.9,15.6,4.0,23.7,13.5,6.4,0.9,1.8,8.2,21.9,F-C,markkla01
70,DeMarcus Cousins,25.0,2309,SAC,1,5,2010,Kentucky,2010-11,20,SAC,81,62,0,1.1,94,105,-1.9,2.9,.022,-2.7,0.1,-2.6,-0.4,14.6,10.4,24.4,17.2,14.7,1.9,2.1,18.5,27.2,C-F,couside01
71,Rashad McCants,24.9,1362,MIN,1,14,2005,North Carolina,2005-06,21,MIN,79,12,0,1.6,99,106,0.2,1.4,.058,-1.3,-0.3,-1.7,0.1,12.6,2.6,9.8,6.3,8.4,1.7,1.2,12.9,23.3,G,mccanra01
72,Brandon Jennings,24.9,2671,MIL,1,10,2009,,2009-10,20,MIL,82,82,0,4.2,100,104,0.3,3.9,.075,0.5,0.2,0.7,1.8,14.5,2.0,10.4,6.0,29.6,2.1,0.5,13.0,26.1,G,jennibr01
73,Kyle Kuzma,24.7,2401,NJN,1,27,2017,Utah,2017-18,22,LAL,77,37,0,3.8,105,109,1.5,2.3,.077,0.3,-1.0,-0.7,0.8,14.2,3.9,17.4,10.7,9.1,1.0,1.1,11.0,22.5,F,kuzmaky01
74,Josh Jackson,24.7,1959,PHO,1,4,2017,Kansas,2017-18,20,PHO,77,35,0,-0.7,93,112,-2.0,1.2,-0.018,-2.8,-1.4,-4.2,-1.1,11.8,5.1,14.2,9.6,10.1,2.0,1.4,12.2,26.0,F-G,jacksjo02
75,Coby White,24.7,1674,CHI,1,7,2019,North Carolina,2019-20,19,CHI,65,1,0,0.9,100,112,-0.5,1.4,.026,-1.3,-1.6,-2.9,-0.4,11.9,1.8,14.0,7.6,16.5,1.4,0.3,11.4,24.4,G,whiteco01
76,Jordan Crawford,24.6,1027,NJN,1,27,2010,Xavier,2010-11,22,ATLWAS,42,18,0,-0.6,92,112,-1.0,0.5,-0.026,-1.5,-2.3,-3.8,-0.5,11.8,3.4,8.6,5.9,19.8,2.0,0.2,13.4,27.0,G,crawfjo02
