season,height_in,position_group,count,minutes
2014,75.0,Guard,3.0,5149.139999999999
2014,76.0,Guard,1.0,1309.3583333333331
2014,77.0,Guard,3.0,4529.306666666666
2014,77.0,Guard-Forward,1.0,1875.4783333333328
2014,79.0,Guard-Forward,1.0,399.04333333333335
2014,80.0,Forward,1.0,662.6383333333333
2014,83.0,Forward,2.0,3208.6749999999997
2014,83.0,Forward-Center,1.0,1416.6816666666666
2014,84.0,Forward-Center,1.0,1399.955
2015,72.0,Guard,1.0,1011.58
2015,75.0,Guard,4.0,5489.733333333334
2015,77.0,Guard,3.0,5194.594999999999
2015,78.0,Forward,1.0,2968.7966666666666
2015,78.0,Guard-Forward,1.0,1351.895
2015,79.0,Forward,1.0,1376.5483333333334
2015,80.0,Forward,1.0,614.13
2015,80.0,Forward-Guard,1.0,358.08
2015,82.0,Forward,1.0,739.6383333333333
2015,83.0,Center,1.0,1103.2583333333334
2016,72.0,Guard,1.0,572.72
2016,73.0,Guard,1.0,311.325
2016,75.0,Guard,3.0,5024.580000000001
2016,76.0,Guard,1.0,1264.7733333333333
2016,76.0,Guard-Forward,1.0,1108.0783333333334
2016,77.0,Forward-Guard,1.0,646.8766666666667
2016,77.0,Guard,1.0,2107.665
2016,78.0,Forward-Guard,2.0,3919.206666666667
2016,78.0,Guard,2.0,1383.71
2016,79.0,Forward-Center,1.0,378.6116666666667
2016,80.0,Forward-Guard,1.0,1412.8533333333332
2016,81.0,Forward,3.0,3186.475
2016,82.0,Center-Forward,1.0,1590.565
2016,82.0,Forward,1.0,379.54
2016,83.0,Center-Forward,1.0,1367.185
2016,84.0,Center,1.0,1411.545
2016,84.0,Center-Forward,1.0,2626.485
2016,84.0,Forward-Center,1.0,1707.5733333333333
2016,86.0,Forward-Center,1.0,2046.4616666666664
2017,75.0,Guard,1.0,1333.0
2017,76.0,Guard,4.0,7278.688333333333
2017,77.0,Guard-Forward,1.0,370.74
2017,78.0,Guard-Forward,1.0,1341.3266666666666
2017,79.0,Guard,1.0,1073.995
2017,79.0,Guard-Forward,1.0,1189.91
2017,80.0,Forward,2.0,3122.641666666667
2017,81.0,Forward,1.0,1743.36
2017,82.0,Forward-Center,2.0,2243.1266666666666
2017,84.0,Center,1.0,608.515
2017,84.0,Forward-Center,1.0,562.1883333333334
2018,71.0,Guard,1.0,983.9933333333332
2018,74.0,Guard,1.0,2638.11
2018,75.0,Guard,3.0,4928.14
2018,76.0,Guard,3.0,3835.7383333333337
2018,77.0,Guard,3.0,4703.3516666666665
2018,77.0,Guard-Forward,1.0,776.4466666666667
2018,78.0,Forward,2.0,2170.515
2018,78.0,Guard-Forward,1.0,712.9983333333333
2018,79.0,Forward,1.0,808.9133333333333
2018,79.0,Forward-Guard,1.0,1481.4616666666666
2018,79.0,Guard-Forward,1.0,2349.8316666666665
2018,80.0,Forward,2.0,3907.163333333334
2018,80.0,Forward-Guard,1.0,2442.911666666667
2018,80.0,Guard-Forward,1.0,1959.2183333333328
2018,81.0,Center,1.0,1441.115
2018,81.0,Center-Forward,1.0,1368.185
2018,81.0,Forward-Center,1.0,1784.62
2018,82.0,Forward,2.0,974.8533333333332
2018,85.0,Forward-Center,1.0,2020.02
2019,72.0,Guard,1.0,576.5016666666667
2019,74.0,Guard,3.0,5078.43
2019,75.0,Forward-Guard,1.0,958.19
2019,75.0,Guard,2.0,3021.3166666666666
2019,76.0,Guard,1.0,1757.17
2019,76.0,Guard-Forward,1.0,1449.3166666666666
2019,77.0,Guard,3.0,2648.6933333333327
2019,78.0,Forward-Guard,1.0,894.615
2019,78.0,Guard,1.0,2173.9066666666668
2019,78.0,Guard-Forward,2.0,4465.645
2019,79.0,Forward,1.0,1696.3333333333333
2019,79.0,Guard-Forward,1.0,440.13
