player,rookie_season,minutes,usg_pct,pts_per_100,poss_est
Vincent Yarbrough,2003,1379.2516666666668,,75.706720369956,536.28
Dan Gadzuric,2003,759.3583333333333,,85.94385679414158,196.64
Carlos Boozer,2003,2047.9583333333333,,100.5611560808462,805.48
Lonny Baxter,2003,683.6466666666666,,88.12054352213104,297.32
Rasual Butler,2003,1515.2966666666666,,77.72468190454258,694.76
LeBron James,2004,3126.865,,84.07034665040155,1967.4
Carmelo Anthony,2004,2991.2316666666666,,88.78023674729799,1943.0
Chris Bosh,2004,2516.485,,91.04174597132344,945.72
Dwyane Wade,2004,2135.85,,87.59988685382929,1131.28
Chris Kaman,2004,1850.2966666666664,,76.47743992153016,652.48
Kirk Hinrich,2004,2709.268333333333,,83.11230607128583,1100.92
T.J. Ford,2004,1484.0883333333334,,67.39984830724677,580.12
Jarvis Hayes,2004,2043.9633333333331,,79.3519784936094,848.12
Marcus Banks,2004,1377.5166666666669,,76.84426229508198,624.64
Žarko Čabarkapa,2004,574.5916666666667,,74.00116652085156,274.32
David West,2004,929.0383333333332,,87.72493573264782,311.2
Sasha Pavlović,2004,1136.5083333333334,,79.58996583048588,479.96
Boris Diaw,2004,1915.235,,71.26187697949658,479.92
Zoran Planinić,2004,466.7433333333333,,79.9373040752351,191.4
Brian Cook,2004,437.77166666666665,,91.00516674495069,170.32
Leandro Barbosa,2004,1500.565,,89.16412684002336,616.8399999999999
Josh Howard,2004,1586.435,,87.15818832231855,659.72
Luke Walton,2004,717.955,,80.42151968940654,216.36
Steve Blake,2004,1387.243333333333,,78.656462585034,564.48
Willie Green,2004,767.5016666666667,,80.59516429014259,451.64
Keith Bogans,2004,1786.045,,86.71124111993315,574.3199999999999
Dwight Howard,2005,2678.443333333333,,95.82698394092134,1023.72
Emeka Okafor,2005,2599.63,,86.40102586557407,1278.92
Ben Gordon,2005,2013.0933333333328,,90.75543797766021,1360.8
Devin Harris,2005,1176.67,,88.38076704775806,493.32
Josh Childress,2005,2371.7716666666665,,94.98140388870581,849.64
Luol Deng,2005,1661.07,,85.22318646018124,834.28
Rafael Araújo,2005,735.595,,78.02547770700637,251.2
Andre Iguodala,2005,2680.843333333333,,95.31772575250837,777.4
Andris Biedriņš,2005,382.305,,101.3011152416357,107.6
Sebastian Telfair,2005,1330.14,,74.97718085799974,613.52
Kris Humphries,2005,869.0166666666667,,72.50156478197371,383.44
Al Jefferson,2005,1044.215,,96.07605177993528,494.4
Josh Smith,2005,2049.9416666666666,,84.98953974895397,841.28
J.R. Smith,2005,1863.5216666666668,,84.28177271943439,927.84
Jameer Nelson,2005,1614.9766666666667,,86.98616301383699,792.08
Tony Allen,2005,1254.4733333333334,,92.67631103074142,530.88
Beno Udrih,2005,1155.2,,93.05357989568516,506.16
David Harrison,2005,759.9083333333333,,95.2930984695351,277.03999999999996
Anderson Varejão,2005,868.7616666666667,,96.76949941792782,274.88
Jackson Vroman,2005,706.105,,71.62162162162163,296.0
Royal Ivey,2005,813.5316666666666,,77.06319181729017,285.48
Chris Duhon,2005,2171.7633333333333,,76.51458019105078,636.48
Trevor Ariza,2005,1380.631666666667,,86.89839572192514,538.56
Andrew Bogut,2006,2348.13,,94.076142878142,816.36
Marvin Williams,2006,1952.2616666666668,,92.64876192577069,725.32
Deron Williams,2006,2306.633333333333,,85.59540320982762,1009.4
Chris Paul,2006,2808.475,,94.26045257005845,1334.6
Raymond Felton,2006,2405.708333333333,,81.53576220456188,1162.68
Charlie Villanueva,2006,2361.0066666666667,,94.9161709031909,1109.4
Channing Frye,2006,1572.355,,95.731474407945,837.76
Ike Diogu,2006,1031.4083333333333,,100.01646361540995,485.92
Sean May,2006,398.4316666666667,,81.40937284631289,232.16
Rashad McCants,2006,1362.243333333333,,93.91288718471033,667.64
Antoine Wright,2006,370.1666666666667,,62.67908309455587,111.68
Joey Graham,2006,1580.6016666666667,,94.41649542974562,564.52
Danny Granger,2006,1765.335,,94.20336371806394,623.12
Nate Robinson,2006,1543.6516666666666,,87.25321664843464,767.88
Jarrett Jack,2006,1598.8116666666667,,87.60826115922718,600.4
Francisco García,2006,1301.22,,84.82584825848258,444.44
Luther Head,2006,2309.971666666667,,88.03167646179898,803.12
Salim Stoudamire,2006,1236.0583333333334,,94.63367609254499,622.4
Daniel Ewing,2006,971.1533333333332,,75.84878401155791,332.24
Ryan Gomes,2006,1376.235,,96.93834637059467,475.56
Andrea Bargnani,2007,1629.45,,94.5272379417984,794.48
LaMarcus Aldridge,2007,1391.756666666667,,98.67272092210968,572.6
Adam Morrison,2007,2325.83,,79.853007767599,1148.3600000000001
Shelden Williams,2007,1513.44,,84.67465100312762,524.36
Brandon Roy,2007,2014.506666666667,,96.75393094504783,987.04
Randy Foye,2007,1879.3333333333333,,89.70543839220252,927.48
Rudy Gay,2007,2103.31,,85.28569700391145,991.96
Hilton Armstrong,2007,634.2066666666667,,92.88579269579904,189.48
Rodney Carney,2007,1169.09,,93.39080459770115,473.28
Shawne Williams,2007,556.22,,93.3609958506224,192.8
Quincy Douby,2007,359.13666666666666,,80.62330623306234,147.6
Renaldo Balkman,2007,1064.185,,91.85918591859185,363.6
Rajon Rondo,2007,1830.9383333333333,,75.0044912869034,667.96
Sergio Rodríguez,2007,861.7866666666666,,75.43366723674566,327.44
Mardy Collins,2007,777.0866666666667,,73.19048212283543,321.08
Craig Smith,2007,1536.565,,98.24833559563054,618.84
Bobby Jones,2007,335.48833333333334,,85.2448853068816,129.04
Alexander Johnson,2007,752.6716666666666,,97.04389369961181,267.92
Paul Millsap,2007,1472.1466666666668,,95.7979160954209,583.52
Leon Powe,2007,719.8016666666666,,91.87082405345211,287.36
Kevin Durant,2008,2767.968333333333,,90.4674896385757,1795.12
Al Horford,2008,2539.8866666666668,,91.39689183773434,898.28
Mike Conley,2008,1381.3366666666666,,85.11074651353569,585.12
Jeff Green,2008,2253.0666666666666,,82.82924129205709,1011.72
Yi Jianlian,2008,1646.6016666666667,,84.00118729593352,673.8
Corey Brewer,2008,1802.585,,73.62848893166506,623.4
Brandan Wright,2008,375.69666666666666,,105.890603085554,142.6
Joakim Noah,2008,1533.715,,90.1433426924782,541.36
Acie Law,2008,865.36,,74.81217369158283,314.12
Thaddeus Young,2008,1554.415,,101.78201962223852,599.32
Julian Wright,2008,640.0766666666667,,98.72498671861166,225.88
Al Thornton,2008,2157.6983333333333,,89.2761965675301,1125.72
Sean Williams,2008,1278.3083333333334,,94.34397490311866,433.52
Javaris Crittenton,2008,678.16,,83.29338446788111,333.76
Daequan Cook,2008,1440.675,,86.03507839489768,602.08
Jared Dudley,2008,1383.8166666666666,,93.79445234708392,449.92
Arron Afflalo,2008,970.3366666666668,,88.10010214504597,313.28
Aaron Gray,2008,612.9966666666667,,86.02574205411085,304.56
Derrick Rose,2009,3000.048333333333,,89.53947368421052,1520.0
Michael Beasley,2009,2008.59,,94.84476875781223,1184.04
O.J. Mayo,2009,3120.3033333333333,,92.85574284594276,1632.64
Russell Westbrook,2009,2668.035,,80.65137543985823,1557.32
Kevin Love,2009,2047.7016666666664,,94.25060806843915,953.84
Eric Gordon,2009,2676.651666666666,,102.70713699753897,1219.0
D.J. Augustin,2009,1907.9333333333332,,100.88781275221953,842.52
Brook Lopez,2009,2501.401666666666,,98.29909432295118,1086.48
Jason Thompson,2009,2302.8766666666666,,92.02702156061648,988.84
Brandon Rush,2009,1802.895,,89.83270499528747,679.04
Anthony Randolph,2009,1129.1266666666668,,87.07943599050678,573.04
Robin Lopez,2009,614.3333333333334,,96.96285655653601,194.92000000000002
Marreese Speights,2009,1262.4233333333334,,100.31678986272439,606.08
JaVale McGee,2009,1142.5916666666667,,94.16884917578186,519.28
Ryan Anderson,2009,1312.425,,93.46691232918778,521.04
Courtney Lee,2009,1938.745,,99.32960206654775,650.36
Nicolas Batum,2009,1453.7716666666668,,98.18382963031253,433.88
Darrell Arthur,2009,1464.1783333333333,,82.842559874362,509.4
Mario Chalmers,2009,2625.843333333333,,89.70085095183788,911.92
DeAndre Jordan,2009,771.3916666666667,,96.62654687235124,235.96
Luc Mbah a Moute,2009,2113.6916666666666,,87.93746669035352,675.48
Hasheem Thabeet,2010,883.2966666666666,,96.78019728270984,214.92000000000002
James Harden,2010,1738.36,,95.36474164133739,789.6
Tyreke Evans,2010,2676.58,,91.44803229061554,1585.6
Jonny Flynn,2010,2339.4166666666665,,83.90857493480596,1303.8
Stephen Curry,2010,2896.213333333333,,94.91180461329715,1474.0
Jordan Hill,2010,624.0983333333334,,93.51525371761458,260.92
DeMar DeRozan,2010,1663.6416666666669,,100.40038825527785,659.36
Brandon Jennings,2010,2670.721666666667,,82.67583261724344,1536.12
Terrence Williams,2010,1763.5216666666668,,78.2480080156496,838.36
Earl Clark,2010,383.39,,73.74631268436578,189.84
James Johnson,2010,757.1766666666666,,84.5442536327609,302.8
Jrue Holiday,2010,1766.7616666666668,,82.23131233889947,713.84
Ty Lawson,2010,1317.4366666666667,,101.57421289355322,533.6
Jeff Teague,2010,718.4983333333333,,76.36655948553054,298.56
Eric Maynor,2010,1269.493333333333,,78.81488817364034,484.68
Darren Collison,2010,2109.1316666666667,,88.6132863726629,1067.56
Omri Casspi,2010,1931.0933333333328,,93.55509355509356,846.56
Rodrigue Beaubois,2010,699.9133333333333,,105.61881451527083,375.88
Taj Gibson,2010,2203.5816666666665,,89.63414634146342,820.0
Wayne Ellington,2010,1384.2416666666666,,91.35311143270623,552.8
Jermaine Taylor,2010,302.6983333333333,,80.88978766430738,158.24
Sam Young,2010,1321.0466666666666,,89.07185628742515,668.0
DeJuan Blair,2010,1494.3166666666666,,94.12250678626224,677.84
Jon Brockman,2010,653.6566666666666,,95.90292275574113,153.28
Jonas Jerebko,2010,2232.2,,97.1879754472483,762.44
Derrick Brown,2010,535.4066666666666,,94.09146094698502,197.68
Marcus Thornton,2010,1871.5966666666664,,101.94043669469947,1036.88
Chase Budinger,2010,1488.2883333333334,,100.87827048274168,651.28
A.J. Price,2010,865.3116666666666,,91.92825112107623,446.0
John Wall,2011,2606.055,,80.44554455445544,1405.92
