player,rookie_season,minutes,pts_per_100,poss_est,player_id,usg_pct
Anderson Varejão,2005,868.7616666666667,96.76949941792782,274.88,2760,13.3
Jackson Vroman,2005,706.105,71.62162162162163,296.0,2761,12.1
Royal Ivey,2005,813.5316666666666,77.06319181729017,285.48,2767,13.69999999999999
Chris Duhon,2005,2171.7633333333333,76.51458019105078,636.48,2768,14.899999999999999
Trevor Ariza,2005,1380.631666666667,86.89839572192514,538.56,2772,15.2
Andrew Bogut,2006,2348.13,94.076142878142,816.36,101106,17.2
Marvin Williams,2006,1952.2616666666668,92.64876192577069,725.32,101107,19.69999999999999
Deron Williams,2006,2306.633333333333,85.59540320982762,1009.4,101114,22.1
Chris Paul,2006,2808.475,94.26045257005843,1334.6,101108,22.3
Raymond Felton,2006,2405.708333333333,81.53576220456188,1162.68,101109,21.5
Charlie Villanueva,2006,2361.0066666666667,94.9161709031909,1109.4,101111,21.5
Channing Frye,2006,1572.355,95.731474407945,837.76,101112,19.89999999999999
Ike Diogu,2006,1031.4083333333333,100.01646361540996,485.92,101113,22.5
Sean May,2006,398.4316666666667,81.40937284631289,232.16,101118,22.89999999999999
Rashad McCants,2006,1362.243333333333,93.91288718471031,667.64,101119,20.1
Antoine Wright,2006,370.1666666666667,62.67908309455587,111.68,101120,13.100000000000001
Joey Graham,2006,1580.6016666666667,94.41649542974562,564.52,101121,16.8
Danny Granger,2006,1765.335,94.20336371806394,623.12,101122,17.8
Nate Robinson,2006,1543.6516666666666,87.25321664843464,767.88,101126,21.099999999999998
Jarrett Jack,2006,1598.8116666666667,87.60826115922718,600.4,101127,17.5
Francisco García,2006,1301.22,84.82584825848258,444.44,101128,15.4
Luther Head,2006,2309.971666666667,88.03167646179898,803.12,101129,17.9
Salim Stoudamire,2006,1236.0583333333334,94.633676092545,622.4,101136,21.5
Daniel Ewing,2006,971.1533333333332,75.84878401155791,332.24,101137,15.2
Ryan Gomes,2006,1376.235,96.93834637059469,475.56,101155,18.7
Andrea Bargnani,2007,1629.45,94.5272379417984,794.48,200745,22.3
LaMarcus Aldridge,2007,1391.756666666667,98.67272092210968,572.6,200746,25.2
Adam Morrison,2007,2325.83,79.853007767599,1148.36,200747,
Shelden Williams,2007,1513.44,84.67465100312762,524.36,200749,16.400000000000002
Brandon Roy,2007,2014.506666666667,96.75393094504784,987.04,200750,24.7
Randy Foye,2007,1879.3333333333333,89.70543839220252,927.48,200751,20.3
Rudy Gay,2007,2103.31,85.28569700391145,991.96,200752,24.8
Hilton Armstrong,2007,634.2066666666667,92.88579269579904,189.48,200756,14.799999999999999
Rodney Carney,2007,1169.09,93.39080459770116,473.28,200760,19.1
Shawne Williams,2007,556.22,93.3609958506224,192.8,200761,20.599999999999998
Quincy Douby,2007,359.13666666666666,80.62330623306234,147.6,200763,20.200000000000003
Renaldo Balkman,2007,1064.185,91.85918591859183,363.6,200764,12.3
Rajon Rondo,2007,1830.9383333333333,75.0044912869034,667.96,200765,18.6
Sergio Rodríguez,2007,861.7866666666666,75.43366723674566,327.44,200771,19.5
Mardy Collins,2007,777.0866666666667,73.19048212283543,321.08,200776,17.1
Craig Smith,2007,1536.565,98.24833559563054,618.84,200783,20.200000000000003
Bobby Jones,2007,335.48833333333334,85.2448853068816,129.04,200784,15.9
Alexander Johnson,2007,752.6716666666666,97.0438936996118,267.92,200792,17.7
Paul Millsap,2007,1472.1466666666668,95.7979160954209,583.52,200794,17.7
Leon Powe,2007,719.8016666666666,91.87082405345213,287.36,200796,21.8
Kevin Durant,2008,2767.968333333333,90.4674896385757,1795.12,201142,27.700000000000003
Al Horford,2008,2539.8866666666668,91.39689183773434,898.28,201143,16.5
Mike Conley,2008,1381.3366666666666,85.11074651353569,585.12,201144,17.599999999999998
Jeff Green,2008,2253.0666666666666,82.82924129205709,1011.72,201145,20.9
Yi Jianlian,2008,1646.6016666666667,84.00118729593352,673.8,201146,20.5
Corey Brewer,2008,1802.585,73.62848893166506,623.4,201147,15.9
Brandan Wright,2008,375.69666666666666,105.890603085554,142.6,201148,18.899999999999988
Joakim Noah,2008,1533.715,90.1433426924782,541.36,201149,12.1
Acie Law,2008,865.36,74.81217369158283,314.12,201151,15.7
Thaddeus Young,2008,1554.415,101.78201962223852,599.32,201152,20.200000000000003
Julian Wright,2008,640.0766666666667,98.72498671861166,225.88,201153,17.8
Al Thornton,2008,2157.6983333333333,89.2761965675301,1125.72,201154,22.5
Sean Williams,2008,1278.3083333333334,94.34397490311866,433.52,201157,13.3
Javaris Crittenton,2008,678.16,83.29338446788111,333.76,201159,15.2
Daequan Cook,2008,1440.675,86.03507839489768,602.08,201161,17.9
Jared Dudley,2008,1383.8166666666666,93.79445234708392,449.92,201162,14.000000000000002
Arron Afflalo,2008,970.3366666666668,88.10010214504597,313.28,201167,13.69999999999999
Aaron Gray,2008,612.9966666666667,86.02574205411085,304.56,201189,13.900000000000002
Derrick Rose,2009,3000.048333333333,89.53947368421052,1520.0,201565,26.8
Michael Beasley,2009,2008.59,94.84476875781225,1184.04,201563,25.3
O.J. Mayo,2009,3120.3033333333333,92.85574284594276,1632.64,201564,20.3
Russell Westbrook,2009,2668.035,80.65137543985823,1557.32,201566,25.0
Kevin Love,2009,2047.7016666666664,94.25060806843916,953.84,201567,21.6
Eric Gordon,2009,2676.651666666666,102.70713699753895,1219.0,201569,21.0
D.J. Augustin,2009,1907.9333333333327,100.88781275221952,842.52,201571,17.2
Brook Lopez,2009,2501.401666666666,98.29909432295118,1086.48,201572,23.3
Jason Thompson,2009,2302.8766666666666,92.02702156061648,988.84,201574,19.5
Brandon Rush,2009,1802.895,89.83270499528747,679.04,201575,14.7
Anthony Randolph,2009,1129.1266666666668,87.07943599050678,573.04,201576,23.3
Robin Lopez,2009,614.3333333333334,96.962856556536,194.92,201577,16.6
Marreese Speights,2009,1262.4233333333334,100.3167898627244,606.08,201578,24.9
JaVale McGee,2009,1142.5916666666667,94.16884917578186,519.28,201580,19.0
Ryan Anderson,2009,1312.425,93.46691232918778,521.04,201583,23.3
Courtney Lee,2009,1938.745,99.32960206654776,650.36,201584,17.4
Nicolas Batum,2009,1453.7716666666668,98.18382963031252,433.88,201587,15.9
Darrell Arthur,2009,1464.1783333333333,82.842559874362,509.4,201589,16.8
Mario Chalmers,2009,2625.843333333333,89.70085095183788,911.92,201596,16.0
DeAndre Jordan,2009,771.3916666666667,96.62654687235124,235.96,201599,14.499999999999998
Luc Mbah a Moute,2009,2113.6916666666666,87.93746669035352,675.48,201601,12.0
Hasheem Thabeet,2010,883.2966666666666,96.78019728270984,214.92,201934,8.6
James Harden,2010,1738.36,95.3647416413374,789.6,201935,19.3
Tyreke Evans,2010,2676.58,91.44803229061554,1585.6,201936,25.3
Jonny Flynn,2010,2339.4166666666665,83.90857493480596,1303.8,201938,18.6
Stephen Curry,2010,2896.213333333333,94.91180461329716,1474.0,201939,23.7
Jordan Hill,2010,624.0983333333334,93.51525371761458,260.92,201941,17.29999999999999
DeMar DeRozan,2010,1663.6416666666669,100.40038825527785,659.36,201942,23.0
Brandon Jennings,2010,2670.721666666667,82.67583261724344,1536.12,201943,24.6
Terrence Williams,2010,1763.5216666666668,78.2480080156496,838.36,201944,23.799999999999997
Earl Clark,2010,383.39,73.74631268436578,189.84,201947,19.399999999999988
James Johnson,2010,757.1766666666666,84.5442536327609,302.8,201949,18.0
Jrue Holiday,2010,1766.7616666666668,82.23131233889947,713.84,201950,20.4
Ty Lawson,2010,1317.4366666666667,101.57421289355322,533.6,201951,19.0
Jeff Teague,2010,718.4983333333333,76.36655948553054,298.56,201952,19.3
Eric Maynor,2010,1269.493333333333,78.81488817364034,484.68,201953,16.400000000000002
Darren Collison,2010,2109.1316666666667,88.6132863726629,1067.56,201954,21.2
Omri Casspi,2010,1931.0933333333328,93.55509355509356,846.56,201956,16.3
Rodrigue Beaubois,2010,699.9133333333333,105.61881451527084,375.88,201958,25.0
Taj Gibson,2010,2203.5816666666665,89.63414634146342,820.0,201959,16.6
Wayne Ellington,2010,1384.2416666666666,91.35311143270624,552.8,201961,16.900000000000002
Jermaine Taylor,2010,302.6983333333333,80.88978766430738,158.24,201966,22.0
Sam Young,2010,1321.0466666666666,89.07185628742515,668.0,201970,17.0
DeJuan Blair,2010,1494.3166666666666,94.12250678626224,677.84,201971,19.3
Jon Brockman,2010,653.6566666666666,95.90292275574112,153.28,201972,9.5
Jonas Jerebko,2010,2232.2,97.1879754472483,762.44,201973,
Derrick Brown,2010,535.4066666666666,94.09146094698502,197.68,201974,14.799999999999999
Marcus Thornton,2010,1871.5966666666664,101.94043669469949,1036.88,201977,24.099999999999998
Chase Budinger,2010,1488.2883333333334,100.87827048274168,651.28,201978,19.5
A.J. Price,2010,865.3116666666666,91.92825112107624,446.0,201985,22.3
John Wall,2011,2606.055,80.44554455445544,1405.92,202322,24.3
