Rk,Player,PTS/100 Poss.,MP/G,G,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,Player-additional
180,Terquavion Smith,30.3,31.6,32,2021-22,NC State,32,25,1010,182,457,86,197,96,260,60,86,30,102,132,67,42,15,54,69,520,.398,.437,.369,.698,.522,.503,G,FR,terquavion-smith-1
181,Michael Cooper,30.3,28.2,15,2025-26,Wright State,15,14,423,83,178,57,107,26,71,28,37,7,41,48,39,13,3,19,28,220,.466,.533,.366,.757,.562,.539,G,FR,michael-cooper-4
182,David Jenkins Jr.,30.3,29.5,35,2017-18,South Dakota State,35,21,1032,183,424,99,204,84,220,115,144,10,103,113,57,13,0,59,68,565,.432,.485,.382,.799,.574,.531,G,FR,david-jenkinsjr-1
183,Stefan Moody,30.3,31.3,29,2012-13,Florida Atlantic,29,20,908,151,359,99,212,52,147,101,124,19,102,121,65,21,9,91,59,455,.421,.467,.354,.815,.544,.493,G,FR,stefan-moody-1
184,Onyeka Okongwu,30.2,30.6,28,2019-20,Southern California,28,28,858,175,284,174,280,1,4,103,143,92,150,242,30,34,76,56,75,454,.616,.621,.250,.720,.645,.618,F,FR,onyeka-okongwu-1
185,Stan Okoye,30.2,21.9,29,2009-10,VMI,29,10,636,159,306,140,240,19,66,74,126,73,119,192,14,23,44,48,84,411,.520,.583,.288,.587,.562,.551,F,FR,stan-okoye-1
186,Kenneth Lofton Jr.,30.2,22.8,32,2020-21,Louisiana Tech,32,28,729,148,261,148,261,0,0,93,156,80,161,241,47,33,23,78,80,389,.567,.567,,.596,.580,.567,F,FR,kenneth-loftonjr-1
187,Allonzo Trier,30.2,28.0,27,2015-16,Arizona,27,21,757,122,262,82,152,40,110,115,145,12,77,89,30,14,6,52,52,399,.466,.539,.364,.793,.603,.542,G,FR,allonzo-trier-1
188,Jimmal Ball,30.2,35.0,26,1996-97,Akron,26,26,910,161,424,102,260,59,164,63,92,,,122,89,58,9,63,56,444,.380,.392,.360,.685,.475,.449,G,FR,jimmal-ball-1
189,Tim Kempton,30.2,26.4,32,2013-14,Lehigh,32,31,844,159,309,159,309,0,0,99,146,74,152,226,23,22,11,90,104,417,.515,.515,,.678,.551,.515,C,FR,tim-kempton-2
190,Matas Deniusas,30.2,25.7,19,2025-26,UT Martin,19,19,488,81,192,57,120,24,72,68,89,38,66,104,32,12,20,41,43,254,.422,.475,.333,.764,.542,.484,F,FR,matas-deniusas-1
191,Josh Okogie,30.2,30.8,37,2016-17,Georgia Tech,37,37,1141,194,428,166,355,28,73,180,241,55,146,201,61,48,27,77,94,596,.453,.468,.384,.747,.549,.486,G,FR,josh-okogie-1
192,Trevon Lewis,30.1,24.4,28,2011-12,Nicholls State,28,13,684,131,262,117,225,14,37,78,123,43,101,144,28,27,20,56,84,354,.500,.520,.378,.634,.552,.527,F,FR,trevon-lewis-1
193,Cole Anthony,30.1,34.9,22,2019-20,North Carolina,22,20,768,131,345,82,204,49,141,96,128,10,115,125,88,29,6,77,64,407,.380,.402,.348,.750,.501,.451,G,FR,cole-anthony-1
194,Jordan Ellerbee,30.1,24.8,19,2025-26,Florida Gulf Coast,19,9,472,89,177,61,99,28,78,47,58,22,45,67,39,17,1,29,48,253,.503,.616,.359,.810,.618,.582,G,FR,jordan-ellerbee-1
195,Ben Simmons,30.1,34.9,33,2015-16,Louisiana State,33,32,1151,216,386,215,383,1,3,199,297,103,285,388,158,65,27,111,92,632,.560,.561,.333,.670,.600,.561,F,FR,ben-simmons-1
