player,rookie_season,minutes,pts_per_100,poss_est,player_id,usg_pct
Chris Paul,2006,2808.475,94.26045257005843,1334.6,101108.0,22.3
Chris Singleton,2012,1430.7383333333332,82.84600389863547,369.36,202698.0,15.4
CJ McCollum,2014,475.74,88.17336374802596,227.96,203468.0,19.8
Coby White,2020,1674.0,89.6884396926161,957.76,1629632.0,21.899999999999988
Cody Martin,2020,902.695,85.12160228898426,279.6,1628998.0,12.3
Cody Zeller,2014,1416.6816666666666,84.62867012089811,579.0,203469.0,15.3
Collin Sexton,2019,2605.023333333333,91.205428419372,1503.2,1629012.0,26.4
Corey Brewer,2008,1802.585,73.62848893166506,623.4,201147.0,15.9
Corey Kispert,2022,1801.0583333333334,107.22500338249222,591.28,1630557.0,13.900000000000002
Courtney Alexander,2001,1373.9116666666666,86.5546218487395,714.0,2042.0,20.1
Courtney Lee,2009,1938.745,99.32960206654776,650.36,201584.0,17.4
Craig Smith,2007,1536.565,98.24833559563054,618.84,200783.0,20.200000000000003
D'Angelo Russell,2016,2259.08,85.30268695370671,1235.6,1626156.0,26.4
Daequan Cook,2008,1440.675,86.03507839489768,602.08,201161.0,17.9
Dajuan Wagner,2003,1384.9083333333333,82.71962125197265,760.4,2402.0,23.0
Dalton Knecht,2025,1493.795,111.89298846202612,630.96,1642261.0,18.5
Damian Lillard,2013,3166.87,93.40764483566952,1672.24,203081.0,24.4
Dan Gadzuric,2003,759.3583333333333,85.94385679414158,196.64,2429.0,15.6
Daniel Ewing,2006,971.1533333333332,75.84878401155791,332.24,101137.0,15.2
Daniel Gafford,2020,609.0533333333333,116.15628299894404,189.4,1629655.0,16.1
Danny Granger,2006,1765.335,94.20336371806394,623.12,101122.0,17.8
Dante Exum,2015,1817.05,71.70486060429135,548.0799999999999,203957.0,
Darius Garland,2020,1823.9683333333328,82.56963977860448,881.68,1629636.0,24.5
Darius Miles,2001,2139.1633333333334,86.30857868711155,881.72,2032.0,18.3
Darius Miller,2013,694.0,87.71929824561404,134.51999999999998,203121.0,12.5
Darrell Arthur,2009,1464.1783333333333,82.842559874362,509.4,201589.0,16.8
Darren Collison,2010,2109.1316666666667,88.6132863726629,1067.56,201954.0,21.2
Darrun Hilliard,2016,383.01666666666665,90.69212410501194,167.6,1626199.0,19.1
David Harrison,2005,759.9083333333333,95.2930984695351,277.04,2758.0,19.8
David Roddy,2023,1258.5016666666668,92.16772151898734,505.6,1631223.0,17.7
David West,2004,929.0383333333332,87.72493573264782,311.2,2561.0,19.1
Davion Mitchell,2022,2075.825,86.58487530168946,994.4,1630558.0,14.000000000000002
Day'Ron Sharpe,2022,390.67,100.4872107186358,197.04,1630549.0,17.29999999999999
De'Aaron Fox,2018,2025.53,79.93938245879902,1055.8,1628368.0,23.8
De'Andre Hunter,2020,2017.935,91.59837995667326,849.36,1629631.0,19.399999999999988
De'Anthony Melton,2019,983.89,72.81836187813118,343.32,1629001.0,18.5
Deandre Ayton,2019,2182.688333333333,107.39834686237444,1079.16,1629028.0,23.1
DeAndre Jordan,2009,771.3916666666667,96.62654687235124,235.96,201599.0,14.499999999999998
DeAndre' Bembry,2017,370.74,83.44348975545275,121.04,1627761.0,17.9
DeJuan Blair,2010,1494.3166666666666,94.12250678626224,677.84,201971.0,19.3
DeMar DeRozan,2010,1663.6416666666669,100.40038825527785,659.36,201942.0,23.0
DeMarcus Cousins,2011,2309.4266666666667,78.88852078847108,1448.88,202326.0,28.6
Dennis Smith Jr.,2018,2049.105,80.43471586897122,1302.92,1628372.0,24.2
Dereck Lively II,2024,1294.2816666666668,126.55906089508436,381.64,1641726.0,13.2
DerMarr Johnson,2001,1309.915,76.15868631062001,521.28,2035.0,17.599999999999998
Deron Williams,2006,2306.633333333333,85.59540320982762,1009.4,101114.0,22.1
Derrick Brown,2010,535.4066666666666,94.09146094698502,197.68,201974.0,14.8
