Rk,Player,PTS/100 Poss.,MP/G,G,Season,Team,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/100 Poss.,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
74,Chris Clemons,32.9,32.2,30,2015-16,Campbell,30,29,11.0,26.0,5.6,11.4,5.4,14.6,5.4,6.5,0.6,6.0,6.6,3.2,2.7,0.5,3.4,4.4,32.9,.424,.487,.374,.844,.566,.528,G,FR,chris-clemons-2
75,Keaton Wagler,32.9,32.0,21,2025-26,Illinois,21,21,9.7,20.1,5.1,9.6,4.6,10.6,9.0,11.0,3.6,5.7,9.2,7.8,1.4,0.4,2.8,3.7,32.9,.480,.528,.437,.815,.649,.595,G,FR,keaton-wagler-1
76,Obi Toppin,32.9,26.5,33,2018-19,Dayton,33,15,13.9,20.9,13.2,19.5,0.8,1.5,4.3,6.0,3.5,9.4,12.9,4.2,1.5,1.9,4.4,4.8,32.9,.666,.676,.524,.713,.692,.684,F,FR,obadiah-toppin-1
77,Michael Weathers,32.9,28.3,32,2016-17,Miami (OH),32,28,10.9,25.3,9.7,20.0,1.2,5.3,9.9,12.7,1.4,6.8,8.3,9.6,3.7,2.8,9.0,6.7,32.9,.431,.486,.221,.777,.524,.454,G,FR,michael-weathers-1
78,Cody Zeller,32.8,28.5,36,2011-12,Indiana,36,36,11.7,18.7,11.7,18.7,0.0,0.0,9.5,12.6,5.1,8.7,13.8,2.6,2.9,2.4,3.5,5.7,32.8,.623,.623,,.755,.665,.623,F,FR,cody-zeller-1
79,B.J. Tyson,32.8,24.2,33,2014-15,East Carolina,33,0,11.4,24.8,9.9,19.8,1.5,5.0,8.6,11.9,3.6,6.7,10.2,3.7,2.1,0.2,4.1,4.4,32.8,.458,.498,.302,.720,.539,.489,G,FR,bj-tyson-1
80,T.J. Weeks Jr.,32.7,26.0,10,2019-20,Massachusetts,10,2,10.2,24.2,3.1,9.6,7.1,14.7,5.1,7.1,1.6,6.9,8.4,1.3,4.0,0.7,2.4,4.7,32.7,.422,.326,.485,.719,.592,.569,G,FR,tj-weeks-1
81,Alec Burks,32.6,30.2,30,2009-10,Colorado,30,30,11.0,20.4,9.8,17.0,1.2,3.4,9.5,12.3,3.7,5.9,9.6,3.4,2.2,0.8,3.7,4.7,32.6,.538,.575,.352,.772,.622,.567,G,FR,alec-burks-1
82,Jeremiah Wilkinson,32.6,27.3,32,2024-25,California,32,14,10.6,26.5,6.5,13.9,4.0,12.6,7.4,9.4,1.1,3.1,4.2,3.2,1.7,0.3,3.4,4.0,32.6,.399,.471,.321,.786,.527,.476,G,FR,jeremiah-wilkinson-1
83,Chris Fouch,32.6,21.3,30,2009-10,Drexel,30,0,10.1,24.9,3.9,8.7,6.2,16.3,6.3,7.9,1.2,4.4,5.6,3.7,2.0,0.4,2.9,3.2,32.6,.405,.456,.379,.793,.569,.529,G,FR,chris-fouch-1
84,Javon McCrea,32.6,21.6,34,2010-11,Buffalo,34,0,13.5,21.4,13.5,21.4,0.0,0.0,5.5,10.9,8.2,9.7,17.9,4.7,3.5,4.7,5.8,6.4,32.6,.631,.631,,.507,.612,.631,F,FR,javon-mccrea-1
85,Marcquise Reed,32.6,27.8,35,2014-15,Robert Morris,35,28,12.1,24.8,10.1,19.8,2.0,4.9,6.3,8.1,1.2,4.2,5.4,4.5,4.1,0.1,5.5,4.4,32.6,.490,.509,.413,.779,.570,.531,G,FR,marcquise-reed-1
86,Nate Ament,32.6,29.2,20,2025-26,Tennessee,20,20,9.9,23.7,7.5,15.7,2.4,8.0,10.4,13.7,3.2,9.5,12.7,5.0,2.5,0.7,5.0,4.3,32.6,.418,.478,.300,.759,.540,.468,F,FR,nate-ament-1
87,Alessandro Lever,32.5,21.3,34,2017-18,Grand Canyon,34,27,11.0,24.3,8.9,17.9,2.0,6.4,8.5,11.1,3.3,8.4,11.7,3.1,0.9,1.1,4.6,7.1,32.5,.453,.500,.321,.766,.551,.495,F,FR,alessandro-lever-1
88,Josh Harris,32.5,22.5,30,2024-25,North Florida,30,30,13.5,24.3,12.6,21.6,0.9,2.7,4.6,6.6,7.3,9.9,17.1,1.4,1.7,1.2,2.5,6.5,32.5,.557,.584,.333,.695,.593,.575,F,FR,josh-harris-1
