player,rookie_season,minutes,pts,poss,pts_per_100,position
Adam Morrison,2007,2325.83,917,1148.3600000000001,79.853007767599,Forward
Shelden Williams,2007,1513.44,444,524.36,84.67465100312762,Center-Forward
Brandon Roy,2007,2014.506666666667,955,987.04,96.75393094504783,Guard
Randy Foye,2007,1879.3333333333333,832,927.48,89.70543839220252,Guard
Rudy Gay,2007,2103.31,846,991.96,85.28569700391145,Forward-Guard
Hilton Armstrong,2007,634.2066666666667,176,189.48,92.88579269579904,Forward-Center
Rodney Carney,2007,1169.09,442,473.28,93.39080459770115,Forward
Shawne Williams,2007,556.22,180,192.8,93.3609958506224,Forward
Quincy Douby,2007,359.13666666666666,119,147.6,80.62330623306234,Guard
Renaldo Balkman,2007,1064.185,334,363.6,91.85918591859185,Forward
Rajon Rondo,2007,1830.9383333333333,501,667.96,75.0044912869034,Guard
Sergio Rodríguez,2007,861.7866666666666,247,327.44,75.43366723674566,Guard
Mardy Collins,2007,777.0866666666667,235,321.08,73.19048212283543,Guard
Craig Smith,2007,1536.565,608,618.84,98.24833559563054,Forward
Bobby Jones,2007,335.48833333333334,110,129.04,85.2448853068816,Forward
Alexander Johnson,2007,752.6716666666666,260,267.92,97.04389369961181,Forward
Paul Millsap,2007,1472.1466666666668,559,583.52,95.7979160954209,Forward
Leon Powe,2007,719.8016666666666,264,287.36,91.87082405345211,Forward
Kevin Durant,2008,2767.968333333333,1624,1795.12,90.4674896385757,Forward
Al Horford,2008,2539.8866666666668,821,898.28,91.39689183773434,Center-Forward
Mike Conley,2008,1381.3366666666666,498,585.12,85.11074651353569,Guard
Jeff Green,2008,2253.0666666666666,838,1011.72,82.82924129205709,Forward
Yi Jianlian,2008,1646.6016666666667,566,673.8,84.00118729593352,Forward
Corey Brewer,2008,1802.585,459,623.4,73.62848893166506,Guard-Forward
Brandan Wright,2008,375.69666666666666,151,142.6,105.890603085554,Forward-Center
Joakim Noah,2008,1533.715,488,541.36,90.1433426924782,Forward-Center
Acie Law,2008,865.36,235,314.12,74.81217369158283,Guard
Thaddeus Young,2008,1554.415,610,599.32,101.78201962223852,Forward
Julian Wright,2008,640.0766666666667,223,225.88,98.72498671861166,Forward
Al Thornton,2008,2157.6983333333333,1005,1125.72,89.2761965675301,Forward
Sean Williams,2008,1278.3083333333334,409,433.52,94.34397490311866,Forward-Center
Javaris Crittenton,2008,678.16,278,333.76,83.29338446788111,Guard
Daequan Cook,2008,1440.675,518,602.08,86.03507839489768,Guard
Jared Dudley,2008,1383.8166666666666,422,449.92,93.79445234708392,Forward
Arron Afflalo,2008,970.3366666666668,276,313.28,88.10010214504597,Guard
Aaron Gray,2008,612.9966666666667,262,304.56,86.02574205411085,Center
Derrick Rose,2009,3000.048333333333,1361,1520.0,89.53947368421052,Guard
Michael Beasley,2009,2008.59,1123,1184.04,94.84476875781223,Forward
O.J. Mayo,2009,3120.3033333333333,1516,1632.64,92.85574284594276,Guard
Russell Westbrook,2009,2668.035,1256,1557.32,80.65137543985823,Guard
Kevin Love,2009,2047.7016666666664,899,953.84,94.25060806843915,Forward-Center
Eric Gordon,2009,2676.651666666666,1252,1219.0,102.70713699753897,Guard
D.J. Augustin,2009,1907.9333333333332,850,842.52,100.88781275221953,Guard
Brook Lopez,2009,2501.401666666666,1068,1086.48,98.29909432295118,Center
Jason Thompson,2009,2302.8766666666666,910,988.84,92.02702156061648,Forward-Center
Brandon Rush,2009,1802.895,610,679.04,89.83270499528747,Guard-Forward
Anthony Randolph,2009,1129.1266666666668,499,573.04,87.07943599050678,
Robin Lopez,2009,614.3333333333334,189,194.92000000000002,96.96285655653601,Center
Marreese Speights,2009,1262.4233333333334,608,606.08,100.31678986272439,Forward-Center
JaVale McGee,2009,1142.5916666666667,489,519.28,94.16884917578186,Center-Forward
Ryan Anderson,2009,1312.425,487,521.04,93.46691232918778,Forward
Courtney Lee,2009,1938.745,646,650.36,99.32960206654775,Guard
Nicolas Batum,2009,1453.7716666666668,426,433.88,98.18382963031253,Guard-Forward
Darrell Arthur,2009,1464.1783333333333,422,509.4,82.842559874362,Forward
Mario Chalmers,2009,2625.843333333333,818,911.92,89.70085095183788,Guard
DeAndre Jordan,2009,771.3916666666667,228,235.96,96.62654687235124,Center
Luc Mbah a Moute,2009,2113.6916666666666,594,675.48,87.93746669035352,Forward
Hasheem Thabeet,2010,883.2966666666666,208,214.92000000000002,96.78019728270984,Center
James Harden,2010,1738.36,753,789.6,95.36474164133739,Guard
Tyreke Evans,2010,2676.58,1450,1585.6,91.44803229061554,Guard
Jonny Flynn,2010,2339.4166666666665,1094,1303.8,83.90857493480596,Guard
Stephen Curry,2010,2896.213333333333,1399,1474.0,94.91180461329715,Guard
Jordan Hill,2010,624.0983333333334,244,260.92,93.51525371761458,Forward-Center
DeMar DeRozan,2010,1663.6416666666669,662,659.36,100.40038825527785,Guard-Forward
Brandon Jennings,2010,2670.721666666667,1270,1536.12,82.67583261724344,Guard
Terrence Williams,2010,1763.5216666666668,656,838.36,78.2480080156496,Guard-Forward
Earl Clark,2010,383.39,140,189.84,73.74631268436578,Forward
James Johnson,2010,757.1766666666666,256,302.8,84.5442536327609,Forward
Jrue Holiday,2010,1766.7616666666668,587,713.84,82.23131233889947,Guard
Ty Lawson,2010,1317.4366666666667,542,533.6,101.57421289355322,Guard
Jeff Teague,2010,718.4983333333333,228,298.56,76.36655948553054,Guard
Eric Maynor,2010,1269.493333333333,382,484.68,78.81488817364034,Guard
Darren Collison,2010,2109.1316666666667,946,1067.56,88.6132863726629,Guard
Omri Casspi,2010,1931.0933333333328,792,846.56,93.55509355509356,Forward
Rodrigue Beaubois,2010,699.9133333333333,397,375.88,105.61881451527083,Guard
Taj Gibson,2010,2203.5816666666665,735,820.0,89.63414634146342,Forward
Wayne Ellington,2010,1384.2416666666666,505,552.8,91.35311143270623,Guard
Jermaine Taylor,2010,302.6983333333333,128,158.24,80.88978766430738,Guard
Sam Young,2010,1321.0466666666666,595,668.0,89.07185628742515,Forward-Guard
DeJuan Blair,2010,1494.3166666666666,638,677.84,94.12250678626224,Center-Forward
Jon Brockman,2010,653.6566666666666,147,153.28,95.90292275574113,Forward
Jonas Jerebko,2010,2232.2,741,762.44,97.1879754472483,Forward
Derrick Brown,2010,535.4066666666666,186,197.68,94.09146094698502,Forward
Marcus Thornton,2010,1871.5966666666664,1057,1036.88,101.94043669469947,Guard-Forward
Chase Budinger,2010,1488.2883333333334,657,651.28,100.87827048274168,Forward
A.J. Price,2010,865.3116666666666,410,446.0,91.92825112107623,Guard
John Wall,2011,2606.055,1131,1405.92,80.44554455445544,Guard
Evan Turner,2011,1797.4016666666666,565,664.0,85.09036144578313,Guard-Forward
Derrick Favors,2011,1535.7216666666666,533,569.12,93.6533595726736,Forward
Wesley Johnson,2011,2069.37,709,817.48,86.7299505798307,Forward-Guard
DeMarcus Cousins,2011,2309.4266666666667,1143,1448.88,78.88852078847108,Center
Ekpe Udoh,2011,1029.513333333333,236,298.15999999999997,79.15213308290852,Center-Forward
Greg Monroe,2011,2221.863333333333,751,733.52,102.38302977423929,Forward-Center
Al-Farouq Aminu,2011,1451.835,457,561.36,81.40943423115291,Forward
Xavier Henry,2011,527.4316666666666,165,195.88,84.23524606902185,Forward-Guard
Ed Davis,2011,1601.753333333333,501,477.32,104.96103243107349,Center-Forward
Larry Sanders,2011,872.1616666666666,260,328.0,79.26829268292683,Forward-Center
Kevin Séraphin,2011,634.6283333333333,154,202.64,75.99684168969601,Forward-Center
Eric Bledsoe,2011,1840.5333333333333,543,738.52,73.52542923685209,Guard
Trevor Booker,2011,1063.0916666666667,346,335.44,103.14810398282853,Forward
Quincy Pondexter,2011,733.5716666666667,188,210.96,89.11642017444065,Forward
Landry Fields,2011,2541.3283333333334,797,773.6800000000001,103.01416606348877,Guard-Forward
Kyrie Irving,2012,1557.8516666666667,944,993.24,95.04248721356369,Guard
Derrick Williams,2012,1417.685,583,660.8,88.22639225181598,Forward
Enes Freedom,2012,874.435,304,336.2,90.42236763831053,Center
Tristan Thompson,2012,1423.753333333333,494,607.48,81.31954961480213,Center-Forward
Jan Veselý,2012,1077.5583333333334,267,305.28,87.46069182389938,Forward
Bismack Biyombo,2012,1455.22,327,411.92,79.3843464750437,Center
Brandon Knight,2012,2128.495,847,1000.28,84.67629063862118,Guard
Kemba Walker,2012,1792.0466666666666,799,979.72,81.55391336300167,Guard
Jimmer Fredette,2012,1134.66,462,534.12,86.49741631094136,Guard
Klay Thompson,2012,1607.665,826,861.04,95.93050264796061,Guard
Alec Burks,2012,938.9033333333332,425,470.92,90.24887454344687,Guard
Kawhi Leonard,2012,1534.3966666666668,507,486.72,104.16666666666666,Forward
Iman Shumpert,2012,1705.4666666666667,563,692.96,81.24567074578619,Guard
Chris Singleton,2012,1430.7383333333332,306,369.36,82.84600389863547,Forward
Tobias Harris,2012,479.015,208,223.76,92.95673936360386,Forward
Reggie Jackson,2012,500.7133333333333,140,207.76,67.38544474393531,Guard
MarShon Brooks,2012,1648.3066666666666,708,823.12,86.01418991155603,Guard
Shelvin Mack,2012,779.48,230,293.96000000000004,78.24193767859572,Guard
Chandler Parsons,2012,1804.365,599,664.32,90.16738921001927,Forward
Charles Jenkins,2012,892.8933333333333,297,368.16,80.67144719687091,Guard
Isaiah Thomas,2012,1655.44,749,757.4,98.8909426987061,Guard
Anthony Davis,2013,1845.9516666666664,867,864.0,100.34722222222223,Forward-Center
Michael Kidd-Gilchrist,2013,2024.763333333333,704,796.28,88.41111166926207,Forward
Bradley Beal,2013,1744.5716666666667,780,846.96,92.09407764239161,Guard
Dion Waiters,2013,1756.305,894,1029.72,86.81971798158723,Guard
Thomas Robinson,2013,1055.715,333,456.96,72.87289915966387,Forward
Damian Lillard,2013,3166.87,1562,1672.24,93.40764483566952,Guard
Harrison Barnes,2013,2057.5316666666668,748,812.6,92.05020920502092,Forward
Austin Rivers,2013,1417.55,377,511.52,73.70190803878637,Guard
Meyers Leonard,2013,1206.2516666666668,377,365.16,103.2424142841494,Forward-Center
Maurice Harkless,2013,1973.605,625,689.32,90.6690651656705,Forward-Guard
Tyler Zeller,2013,2033.1783333333333,610,723.08,84.36134314322067,Forward-Center
Andrew Nicholson,2013,1249.4083333333333,587,606.36,96.80717725443631,Forward
Marquis Teague,2013,391.9216666666667,99,155.04000000000002,63.85448916408668,Guard
Jae Crowder,2013,1353.165,392,448.12,87.47656877622066,Forward
Orlando Johnson,2013,618.6566666666666,203,223.08,90.99874484489868,Guard
Quincy Acy,2013,342.33666666666664,116,108.72,106.69610007358352,Forward
Will Barton,2013,893.77,295,397.6,74.19517102615694,Guard
Doron Lamb,2013,577.7783333333333,154,203.96,75.50500098058443,Guard
Darius Miller,2013,694.0,118,134.51999999999998,87.71929824561404,Forward
Kyle O'Quinn,2013,637.9166666666666,232,253.8,91.41055949566588,Center-Forward
Anthony Bennett,2014,662.6383333333333,217,302.36,71.76875248048684,Forward
Victor Oladipo,2014,2486.4933333333333,1106,1331.92,83.03802030151961,Guard
Cody Zeller,2014,1416.6816666666666,490,579.0,84.62867012089811,Forward-Center
Ben McLemore,2014,2186.9066666666668,720,837.92,85.92705747565401,Guard
Kentavious Caldwell-Pope,2014,1582.513333333333,470,514.8399999999999,91.29049801880197,Guard
Trey Burke,2014,2262.43,895,1077.72,83.04568904724789,Guard
CJ McCollum,2014,475.74,201,227.96,88.17336374802596,Guard
Michael Carter-Williams,2014,2413.9133333333334,1167,1462.48,79.79596302171653,Guard
Kelly Olynyk,2014,1399.955,607,661.68,91.73618667633902,Forward-Center
Giannis Antetokounmpo,2014,1896.8083333333332,525,628.88,83.48174532502226,Forward
Tim Hardaway Jr.,2014,1875.4783333333328,824,790.32,104.26156493572223,Guard-Forward
Andre Roberson,2014,399.04333333333335,75,91.4,82.05689277899343,Guard-Forward
Archie Goodwin,2014,532.88,194,235.2,82.48299319727892,Guard
Nate Wolters,2014,1309.3583333333331,417,485.6,85.87314662273475,Guard
Ryan Kelly,2014,1311.8666666666666,472,477.4,98.86887306242146,Forward
Andrew Wiggins,2015,2968.7966666666666,1387,1519.04,91.30766800084264,Forward
Dante Exum,2015,1817.05,393,548.0799999999999,71.70486060429135,Guard
Marcus Smart,2015,1808.2266666666667,523,622.88,83.96480863087594,Guard
Elfrid Payton,2015,2488.6666666666665,731,1005.16,72.72474033984639,Guard
Zach LaVine,2015,1901.7216666666664,778,947.88,82.07790015613791,Guard
T.J. Warren,2015,614.13,245,249.36,98.25152390118703,Forward
Adreian Payne,2015,739.6383333333333,213,284.24,74.93667323388685,Forward
Jusuf Nurkić,2015,1103.2583333333334,426,527.0799999999999,80.82264551870685,Center
Tyler Ennis,2015,411.42333333333335,121,189.08,63.994076581341226,Guard
Shabazz Napier,2015,1011.58,261,333.64,78.22803021220477,Guard
Kyle Anderson,2015,358.08,74,105.16,70.3689615823507,Forward-Guard
K.J. McDaniels,2015,1351.895,487,597.52,81.50354799839336,Guard-Forward
Jerami Grant,2015,1376.5483333333334,411,521.9200000000001,78.747700797057,Forward
Markel Brown,2015,781.4166666666666,216,262.08000000000004,82.41758241758241,Guard
Jordan Clarkson,2015,1475.8233333333333,703,761.52,92.31536926147704,Guard
Karl-Anthony Towns,2016,2626.485,1503,1457.0,103.15717227179135,Center-Forward
D'Angelo Russell,2016,2259.08,1054,1235.6,85.30268695370671,Guard
Jahlil Okafor,2016,1590.565,928,990.36,93.70329981017004,Center-Forward
