Rk,Player,PTS/100 Poss.,MP/G,G,Season,Team,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Class,Player-additional
36,PJ Haggerty,35.2,33.7,31,2023-24,Tulsa,31,31,5.5,119,102,3.8,1.7,.210,4.9,1.8,6.6,26.5,3.5,14.0,9.0,26.5,3.2,0.1,12.7,30.1,G,FR,pj-haggerty-1
37,Thijs De Ridder,35.1,27.3,18,2025-26,Virginia,18,18,2.6,124,100,1.6,1.0,.214,5.3,1.8,7.1,22.9,9.9,14.6,12.4,11.1,1.6,1.8,12.2,27.3,F,FR,thijs-de-ridder-1
38,Jake Cohen,35.1,22.7,31,2009-10,Davidson,31,23,2.2,103,102,1.4,0.9,.128,,,,22.1,7.6,18.7,13.0,9.5,1.2,5.7,14.8,32.2,F,FR,jake-cohen-1
39,Caleb Mills,35.1,22.5,31,2019-20,Houston,31,7,2.8,106,97,1.7,1.2,.161,4.2,1.2,5.4,17.8,1.9,11.1,6.4,11.7,1.4,0.9,9.3,32.4,G,FR,caleb-mills-1
40,R.J. Barrett,35.0,35.3,38,2018-19,Duke,38,38,6.5,110,96,3.8,2.7,.194,6.5,2.1,8.6,23.3,4.8,17.2,11.2,23.5,1.4,1.2,13.2,32.2,F,FR,rj-barrett-1
41,Alex Petrie,35.0,24.9,31,2017-18,Lafayette,31,21,1.8,105,112,1.4,0.4,.092,2.1,-4.1,-2.0,19.0,1.5,9.5,5.7,7.1,1.1,0.0,12.6,31.5,G,FR,alex-petrie-1
42,R.J. Cole,35.0,37.9,33,2017-18,Howard,33,32,4.1,109,112,3.4,0.8,.132,3.4,-2.9,0.5,22.2,2.3,9.2,5.7,36.5,2.6,0.0,14.8,33.3,G,FR,rj-cole-1
43,Deandre Ayton,35.0,33.5,35,2017-18,Arizona,35,35,7.6,130,99,5.5,2.1,.259,8.6,2.4,11.0,32.6,13.5,28.2,21.4,10.2,1.0,6.1,11.3,26.6,F,FR,deandre-ayton-1
44,Alex Wilkins,34.9,29.5,19,2025-26,Furman,19,19,1.6,105,107,0.8,0.8,.113,-0.5,-2.0,-2.5,16.1,1.0,7.1,4.2,35.5,1.5,0.4,20.0,33.7,G,FR,alex-wilkins-1
45,Jahlil Okafor,34.9,30.1,38,2014-15,Duke,38,38,6.7,120,95,4.5,2.2,.235,7.7,2.7,10.4,30.7,14.8,18.2,16.6,9.4,1.5,4.5,15.6,27.6,C,FR,jahlil-okafor-1
