player,rookie_season,minutes,poss_est,player_id,usg_pct,pts_per_100
Emmanuel Mudiay,2016,2067.8866666666668,1213.96,1626144,22.2,20.6
Enes Freedom,2012,874.435,336.2,202683,20.6,17.6
Eric Bledsoe,2011,1840.5333333333333,738.52,202339,19.1,15.0
Eric Gordon,2009,2676.651666666666,1219.0,201569,21.0,23.9
Eric Maynor,2010,1269.493333333333,484.68,201953,16.400000000000002,15.2
Eric Paschall,2020,1653.795,827.28,1629672,23.39999999999999,23.8
Evan Mobley,2022,2331.036666666667,1073.88,1630596,19.89999999999999,21.8
Evan Turner,2011,1797.4016666666666,664.0,202323,19.69999999999999,16.0
Francisco García,2006,1301.22,444.44,101128,15.4,14.8
Frank Kaminsky,2016,1707.5733333333333,648.12,1626163,21.6,17.4
Frank Mason III,2018,983.9933333333332,495.6,1628412,21.3,21.4
Frank Ntilikina,2018,1705.6483333333333,660.92,1628373,16.3,13.2
Franz Wagner,2022,2429.0466666666666,1190.36,1630532,23.0,23.6
Gerald Wallace,2002,431.7166666666666,217.24,2222,19.5,18.7
Giannis Antetokounmpo,2014,1896.8083333333327,628.88,203507,19.3,14.1
Goga Bitadze,2020,471.2916666666667,192.52,1629048,16.900000000000002,16.6
Grant Williams,2020,1043.2233333333334,284.76,1629684,12.0,10.6
Grayson Allen,2019,416.29333333333335,237.4,1628960,17.1,23.4
Greg Monroe,2011,2221.863333333333,733.52,202328,23.200000000000003,18.2
Hamidou Diallo,2019,526.28,213.96,1628977,17.29999999999999,16.6
Harrison Barnes,2013,2057.5316666666668,812.6,203084,16.6,18.0
Hasheem Thabeet,2010,883.2966666666666,214.92,201934,8.6,11.8
Herbert Jones,2022,2335.1833333333334,747.72,1630529,14.4,15.5
Hilton Armstrong,2007,634.2066666666667,189.48,200756,14.8,14.7
Ike Diogu,2006,1031.4083333333333,485.92,101113,22.5,23.8
Iman Shumpert,2012,1705.4666666666667,692.96,202697,15.5,16.8
Isaac Okoro,2021,2173.235,714.08,1630171,12.3,14.6
Isaiah Collier,2025,1839.1066666666663,830.76,1642268,18.899999999999988,15.7
Isaiah Jackson,2022,541.045,284.72,1630543,16.5,25.6
Isaiah Joe,2021,382.8233333333333,154.56,1630198,14.4,18.8
Isaiah Livers,2022,383.25666666666666,111.16,1630587,11.69999999999999,15.5
Isaiah Stewart,2021,1454.8283333333334,516.48,1630191,14.4,17.8
Isaiah Thomas,2012,1655.44,757.4,202738,22.399999999999988,22.3
Isaiah Whitehead,2017,1643.4716666666666,699.72,1627785,27.39999999999999,15.6
Ivan Rabb,2018,515.61,202.84,1628397,16.6,19.0
Ivica Zubac,2017,608.515,289.56,1627826,17.2,21.8
Ja Morant,2020,2074.3233333333333,1292.52,1629630,26.700000000000003,26.6
Ja'Kobe Walter,2025,1103.235,479.52,1642266,18.2,19.4
Jabari Smith Jr.,2023,2450.5466666666666,1086.64,1631095,17.4,19.7
Jackson Vroman,2005,706.105,296.0,2761,12.1,15.5
Jaden Hardy,2023,708.39,413.76,1630702,23.8,28.0
Jaden Ivey,2023,2304.3166666666666,1376.64,1631093,24.4,25.0
Jaden McDaniels,2021,1510.7833333333333,433.8,1630183,14.9,13.1
Jae Crowder,2013,1353.165,448.12,203109,12.8,14.3
Jahlil Okafor,2016,1590.565,990.36,1626143,24.4,28.8
Jaime Jaquez Jr.,2024,2113.195,884.0,1631170,19.399999999999988,20.6
Jake LaRavia,2023,414.2866666666667,116.96,1631222,20.1,11.9
Jalen Brunson,2019,1591.2583333333334,705.8,1628973,19.89999999999999,20.3
Jalen Duren,2023,1670.145,559.0799999999999,1631105,18.1,17.5
Jalen Green,2022,2137.7233333333334,1192.84,1630224,27.39999999999999,25.4
Jalen Suggs,2022,1306.6533333333334,762.72,1630591,19.6,20.3
Jalen Williams,2023,2275.5916666666667,1001.04,1631114,23.200000000000003,21.5
Jamaal Tinsley,2002,2443.415,1111.84,2224,15.7,15.6
Jamal Crawford,2001,1046.621666666667,403.96,2037,21.4,13.9
Jamal Murray,2017,1764.6433333333334,895.8,1627750,22.3,21.9
Jamal Shead,2025,1466.825,651.36,1642347,18.6,17.0
Jameer Nelson,2005,1614.9766666666667,792.08,2749,24.4,21.0
James Bouknight,2022,304.4766666666667,169.64,1630547,19.2,21.7
James Harden,2010,1738.36,789.6,201935,19.3,21.8
James Johnson,2010,757.1766666666666,302.8,201949,18.0,16.7
Jan Veselý,2012,1077.5583333333334,305.28,202686,12.1,12.6
Jarace Walker,2024,340.42333333333335,130.95999999999998,1641716,16.5,16.2
Jared Dudley,2008,1383.8166666666666,449.92,201162,14.000000000000002,15.6
Jared McCain,2025,591.7916666666666,335.64,1642272,24.7,29.1
Jarell Martin,2016,379.54,162.28,1626185,15.6,20.1
Jaren Jackson Jr.,2019,1514.6883333333333,773.6800000000001,1628991,23.8,26.3
Jarrett Allen,2018,1441.115,543.6800000000001,1628386,15.8,19.6
Jarrett Culver,2020,1505.6066666666666,701.48,1629633,17.9,17.6
Jarrett Jack,2006,1598.8116666666667,600.4,101127,17.5,17.3
Jarron Collins,2002,1444.6616666666666,478.64,2260,14.000000000000002,16.3
Jarvis Hayes,2004,2043.963333333333,848.12,2553,17.7,16.7
Jason Collins,2002,1403.1083333333331,422.16,2215,12.4,13.0
Jason Richardson,2002,2627.845,1342.4,2202,22.5,21.6
Jason Thompson,2009,2302.8766666666666,988.84,201574,19.5,19.8
JaVale McGee,2009,1142.5916666666667,519.28,201580,19.0,21.9
Javaris Crittenton,2008,678.16,333.76,201159,15.2,19.8
Jaxson Hayes,2020,1079.715,395.6,1629637,15.6,19.6
Jay Williams,2003,1961.19,926.84,2398,,18.1
Jaylen Brown,2017,1341.3266666666666,544.56,1627759,20.8,18.6
Jaylen Wells,2025,2043.4816666666663,804.4,1642377,15.9,18.5
Jaylin Williams,2023,914.1583333333332,294.76,1631119,13.3,14.8
Jaylon Tyson,2025,452.96,185.56,1642281,17.4,17.5
Jayson Tatum,2018,2442.911666666667,1062.52,1628369,21.8,22.4
Jeff Green,2008,2253.0666666666666,1011.72,201145,20.9,18.2
Jeff Teague,2010,718.4983333333333,298.56,201952,19.3,15.6
Jerami Grant,2015,1376.5483333333334,521.9200000000001,203924,17.9,14.5
Jeremiah Robinson-Earl,2022,1087.1083333333331,386.76,1630526,14.3,16.3
Jeremy Sochan,2023,1457.7,700.04,1631110,18.7,19.8
Jerian Grant,2016,1264.7733333333333,532.12,1626170,15.9,16.7
Jericho Sims,2022,555.0433333333333,86.76,1630579,7.4,7.9
Jermaine Taylor,2010,302.6983333333333,158.24,201966,22.0,20.6
Jerome Robinson,2019,320.52,126.96,1629010,15.5,15.9
Jevon Carter,2019,576.5016666666667,232.08,1628975,12.7,14.6
Jimmer Fredette,2012,1134.66,534.12,202690,22.89999999999999,20.1
Joakim Noah,2008,1533.715,541.36,201149,12.1,16.1
Joe Johnson,2002,1916.736666666667,678.32,2207,18.899999999999988,15.7
Joey Graham,2006,1580.6016666666667,564.52,101121,16.8,17.4
John Collins,2018,1784.62,731.84,1628381,23.0,20.9
John Wall,2011,2606.055,1405.92,202322,24.3,21.6
Johnny Davis,2023,422.575,199.88,1631098,11.69999999999999,18.0
Jon Brockman,2010,653.6566666666666,153.28,201972,9.5,11.6
Jonas Jerebko,2010,2232.2,762.44,201973,,17.8
Jonny Flynn,2010,2339.4166666666665,1303.8,201938,18.6,22.8
Jordan Bell,2018,808.9133333333333,255.36,1628395,13.3,15.3
Jordan Clarkson,2015,1475.8233333333333,761.52,203903,22.5,24.3
Jordan Hill,2010,624.0983333333334,260.92,201941,17.29999999999999,19.7
Jordan Poole,2020,1273.89,628.36,1629673,24.6,18.2
Josh Childress,2005,2371.7716666666665,849.64,2735,13.69999999999999,17.2
Josh Christopher,2022,1333.7416666666666,663.72,1630528,21.5,20.6
Josh Giddey,2022,1700.3516666666667,875.76,1630581,23.9,19.1
Josh Green,2021,444.63166666666666,120.12,1630182,13.0,10.9
Josh Hart,2018,1460.5216666666668,463.36,1628404,13.0,16.3
Josh Howard,2004,1586.435,659.72,2572,18.2,18.2
Josh Jackson,2018,1959.2183333333328,1200.76,1628367,23.39999999999999,24.1
Josh Okogie,2019,1757.17,642.28,1629006,14.8,15.0
Josh Smith,2005,2049.9416666666666,841.28,2746,18.7,17.7
J.R. Smith,2005,1863.5216666666668,927.84,2747,21.5,22.4
Jrue Holiday,2010,1766.7616666666668,713.84,201950,20.4,17.1
