season,position_group,shot_type,metric,value
2006,Forward-Center,fg,pct,0.4765625
2006,Forward-Center,ft,attempts,229.0
2006,Forward-Center,ft,makes,189.0
2006,Forward-Center,ft,pct,0.8253275109170306
2006,Forward-Guard,3p,attempts,54.0
2006,Forward-Guard,3p,makes,15.5
2006,Forward-Guard,3p,pct,0.28703703703703703
2006,Forward-Guard,fg,attempts,279.5
2006,Forward-Guard,fg,makes,125.0
2006,Forward-Guard,fg,pct,0.4472271914132379
2006,Forward-Guard,ft,attempts,85.0
2006,Forward-Guard,ft,makes,63.0
2006,Forward-Guard,ft,pct,0.7411764705882353
2006,Guard,3p,attempts,186.22222222222223
2006,Guard,3p,makes,66.66666666666667
2006,Guard,3p,pct,0.35799522673031026
2006,Guard,fg,attempts,615.5555555555555
2006,Guard,fg,makes,256.22222222222223
2006,Guard,fg,pct,0.4162454873646209
2006,Guard,ft,attempts,174.33333333333334
2006,Guard,ft,makes,136.55555555555554
2006,Guard,ft,pct,0.7833014659018483
2006,Guard-Forward,3p,attempts,137.0
2006,Guard-Forward,3p,makes,39.0
2006,Guard-Forward,3p,pct,0.2846715328467153
2006,Guard-Forward,fg,attempts,325.0
2006,Guard-Forward,fg,makes,130.0
2006,Guard-Forward,fg,pct,0.4
2006,Guard-Forward,ft,attempts,101.0
2006,Guard-Forward,ft,makes,78.0
2006,Guard-Forward,ft,pct,0.7722772277227723
2007,Center-Forward,3p,attempts,91.33333333333333
2007,Center-Forward,3p,makes,34.0
2007,Center-Forward,3p,pct,0.3722627737226277
2007,Center-Forward,fg,attempts,489.6666666666667
2007,Center-Forward,fg,makes,224.66666666666666
2007,Center-Forward,fg,pct,0.45881552076242343
2007,Center-Forward,ft,attempts,133.66666666666666
2007,Center-Forward,ft,makes,103.33333333333333
2007,Center-Forward,ft,pct,0.773067331670823
2007,Forward,3p,attempts,53.625
2007,Forward,3p,makes,17.25
2007,Forward,3p,pct,0.32167832167832167
2007,Forward,fg,attempts,341.22222222222223
2007,Forward,fg,makes,157.66666666666666
2007,Forward,fg,pct,0.4620644741126669
2007,Forward,ft,attempts,118.11111111111111
2007,Forward,ft,makes,77.55555555555556
2007,Forward,ft,pct,0.6566321730950141
2007,Forward-Center,fg,attempts,125.0
2007,Forward-Center,fg,makes,68.0
2007,Forward-Center,fg,pct,0.544
2007,Forward-Center,ft,attempts,67.0
2007,Forward-Center,ft,makes,40.0
2007,Forward-Center,ft,pct,0.5970149253731343
2007,Forward-Guard,3p,attempts,143.0
2007,Forward-Guard,3p,makes,52.0
2007,Forward-Guard,3p,pct,0.36363636363636365
2007,Forward-Guard,fg,attempts,760.0
2007,Forward-Guard,fg,makes,321.0
2007,Forward-Guard,fg,pct,0.42236842105263156
2007,Forward-Guard,ft,attempts,209.0
2007,Forward-Guard,ft,makes,152.0
2007,Forward-Guard,ft,pct,0.7272727272727273
2007,Guard,3p,attempts,90.33333333333333
2007,Guard,3p,makes,29.666666666666668
2007,Guard,3p,pct,0.3284132841328413
2007,Guard,fg,attempts,416.5
2007,Guard,fg,makes,178.83333333333334
2007,Guard,fg,pct,0.4293717486994798
2007,Guard,ft,attempts,123.33333333333333
2007,Guard,ft,makes,94.16666666666667
2007,Guard,ft,pct,0.7635135135135135
2008,Center,3p,attempts,1.0
2008,Center,3p,makes,0.0
2008,Center,3p,pct,0.0
2008,Center,fg,attempts,204.0
2008,Center,fg,makes,103.0
2008,Center,fg,pct,0.5049019607843137
2008,Center,ft,attempts,99.0
2008,Center,ft,makes,56.0
2008,Center,ft,pct,0.5656565656565656
2008,Center-Forward,3p,attempts,5.0
2008,Center-Forward,3p,makes,0.0
2008,Center-Forward,3p,pct,0.0
2008,Center-Forward,fg,attempts,668.0
2008,Center-Forward,fg,makes,333.0
2008,Center-Forward,fg,pct,0.49850299401197606
2008,Center-Forward,ft,attempts,212.0
2008,Center-Forward,ft,makes,155.0
2008,Center-Forward,ft,pct,0.7311320754716981
2008,Forward,3p,attempts,73.71428571428571
2008,Forward,3p,makes,22.0
