"Player","Regular_Rk","Regular_PTS/G","Regular_From","Regular_To","Regular_Age","Regular_G","Regular_GS","Regular_AS","Regular_MP","Regular_FG","Regular_FGA","Regular_2P","Regular_2PA","Regular_3P","Regular_3PA","Regular_FT","Regular_FTA","Regular_ORB","Regular_DRB","Regular_TRB","Regular_AST","Regular_STL","Regular_BLK","Regular_TOV","Regular_PF","Regular_PTS","Regular_FG%","Regular_2P%","Regular_3P%","Regular_FT%","Regular_TS%","Regular_eFG%","Regular_Pos","Regular_Team","Regular_Player-additional","Postseason_Rk","Postseason_PTS/G","Postseason_G","Postseason_From","Postseason_To","Postseason_Age","Postseason_G_2","Postseason_GS","Postseason_AS","Postseason_MP","Postseason_FG","Postseason_FGA","Postseason_2P","Postseason_2PA","Postseason_3P","Postseason_3PA","Postseason_FT","Postseason_FTA","Postseason_ORB","Postseason_DRB","Postseason_TRB","Postseason_AST","Postseason_STL","Postseason_BLK","Postseason_TOV","Postseason_PF","Postseason_PTS","Postseason_FG%","Postseason_2P%","Postseason_3P%","Postseason_FT%","Postseason_TS%","Postseason_eFG%","Postseason_Pos","Postseason_Player-additional"
"Larry Bird","24","24.3","1979-80","1991-92","23-35","897","870","12","34443","8591","17334","7942","15607","649","1727","3960","4471","1757","7217","8974","5695","1556","755","2816","2279","21791",".496",".509",".376",".886",".564",".514","F","BOS","birdla01","36","23.8","164","1979-80","1991-92","23-35","164","95","12","6886","1458","3090","1378","2841","80","249","901","1012","360","1323","1683","1062","296","145","506","466","3897",".472",".485",".321",".890",".551",".485","F","birdla01"
"Adrian Dantley","25","24.3","1976-77","1990-91","21-35","955","645","6","34151","8169","15121","8162","15080","7","41","6832","8351","2207","3248","5455","2830","944","150","2503","2550","23177",".540",".541",".171",".818",".617",".540","F-G","BUFDALDETINDLALMILUTA","dantlad01","62","21.3","73","1977-78","1990-91","22-35","73","48","2","2515","531","1012","531","1009","0","3","496","623","149","246","395","169","69","6","185","188","1558",".525",".526",".000",".796",".606",".525","F-G","dantlad01"
"Giannis Antetokounmpo","27","24.1","2013-14","2025-26","19-31","895","830","10","29273","7898","14266","7341","12313","557","1953","5178","7491","1697","7185","8882","4484","995","1088","2701","2617","21531",".554",".596",".285",".691",".613",".573","F-G","MIL","antetgi01","11","27.0","84","2014-15","2024-25","20-30","84","84","8","3042","852","1602","790","1363","62","239","504","807","205","817","1022","446","85","110","283","271","2270",".532",".580",".259",".625",".580",".551","F-G","antetgi01"
"James Harden","28","24.0","2009-10","2025-26","20-36","1221","1007","11","42449","8661","19733","5271","10410","3390","9323","8627","10002","911","5898","6809","8873","1794","683","4505","2994","29339",".439",".506",".364",".863",".608",".525","G","BRKCLEHOULACOKCPHI","hardeja01","46","22.5","173","2009-10","2024-25","20-35","173","130","11","6268","1173","2760","739","1485","434","1275","1115","1283","126","822","948","1125","282","98","590","512","3895",".425",".498",".340",".869",".586",".504","G","hardeja01"
"Anthony Davis","29","24.0","2012-13","2025-26","19-32","807","800","10","27741","7269","13923","6884","12617","385","1306","4462","5627","2148","6489","8637","2065","1055","1848","1614","1882","19385",".522",".546",".295",".793",".591",".536","F-C","DALLALNOHNOP","davisan02","16","26.1","60","2014-15","2023-24","21-30","60","60","5","2259","574","1059","538","944","36","115","382","455","148","557","705","170","76","129","140","172","1566",".542",".570",".313",".840",".622",".559","F-C","davisan02"
"Shaquille O'Neal","31","23.7","1992-93","2010-11","20-38","1207","1197","15","41918","11330","19457","11329","19435","1","22","5935","11252","4209","8890","13099","3026","739","2732","3310","4146","28596",".582",".583",".045",".527",".586",".582","C","BOSCLELALMIAORLPHO","onealsh01","32","24.3","216","1993-94","2010-11","21-38","216","214","13","8098","2041","3627","2041","3627","0","0","1168","2317","866","1642","2508","582","117","459","649","769","5250",".563",".563","",".504",".565",".563","C","onealsh01"
"Kyrie Irving","32","23.7","2011-12","2024-25","19-32","779","779","9","26879","6787","14313","4911","9550","1876","4763","2983","3360","638","2535","3173","4364","1022","337","1943","1770","18433",".474",".514",".394",".888",".584",".540","G","BOSBRKCLEDAL","irvinky01","40","23.0","96","2014-15","2023-24","22-31","96","96","4","3595","815","1781","590","1207","225","574","356","403","83","270","353","471","128","53","215","233","2211",".458",".489",".392",".883",".565",".521","G","irvinky01"
"Jayson Tatum","33","23.5","2017-18","2025-26","19-27","601","601","6","20707","4907","10716","3314","6392","1593","4324","2725","3246","520","3933","4453","2328","661","387","1428","1258","14132",".458",".518",".368",".839",".582",".532","F","BOS","tatumja01","33","24.3","121","2017-18","2024-25","19-26","121","121","6","4725","983","2241","691","1401","292","840","678","806","118","871","989","592","143","106","352","318","2936",".439",".493",".348",".841",".566",".504","F","tatumja01"
"Rick Barry","35","23.2","1965-66","1979-80","21-35","794","82","8","28825","7252","16163","7179","15942","73","221","3818","4243","510","2366","5168","4017","1104","269","574","2264","18395",".449",".450",".330",".900",".510",".451","F","GSWHOUSFW","barryri01","27","24.8","74","1966-67","1979-80","22-35","74","","5","2723","719","1688","716","1676","3","12","392","448","69","182","418","340","106","39","12","232","1833",".426",".427",".250",".875",".486",".427","F","barryri01"
"George Mikan","36","23.1","1948-49","1955-56","24-31","439","","4","8350","3544","8783","3544","8783","","","3068","3924","","","4167","1245","","","","1862","10156",".404",".404","",".782",".483",".404","C","MNL","mikange01","35","24.0","70","1948-49","1955-56","24-31","70","","4","1500","563","1394","563","1394","","","554","705","","","665","155","","","","305","1680",".404",".404","",".786",".493",".404","C","mikange01"
