Rk,Player,PTS/100 Poss.,MP,USG%,TS%,Season,Age,Team,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional
39,Brice Sensabaugh,29.5,1749,24.8,.590,2025-26,22,UTA,74,22,0,1.1,111,124,1.0,0.1,.030,0.3,-3.0,-2.6,-0.3,14.4,3.4,10.9,7.1,12.4,1.4,0.7,11.5,24.8,F,sensabr01
40,Nickeil Alexander-Walker,29.5,2603,23.9,.610,2025-26,27,ATL,78,71,0,6.4,117,115,3.6,2.8,.117,1.6,-0.3,1.2,2.1,16.5,2.1,9.2,5.6,15.8,1.9,1.5,10.9,23.9,G,alexani01
41,Kon Knueppel,29.2,2519,22.3,.635,2025-26,20,CHO,80,79,0,7.9,125,117,5.5,2.4,.151,3.2,-0.4,2.7,3.0,17.1,4.4,14.5,9.5,16.5,1.1,0.7,12.0,22.3,G-F,knuepko01
42,Trey Murphy III,29.0,2341,22.8,.613,2025-26,25,NOP,66,66,0,6.0,122,119,4.5,1.6,.124,3.0,-0.6,2.4,2.6,18.3,2.9,14.6,8.7,16.2,2.0,1.0,9.4,22.8,F,murphtr02
43,Desmond Bane,28.8,2738,23.3,.608,2025-26,27,ORL,81,81,0,7.4,120,117,4.8,2.5,.129,1.6,-0.3,1.4,2.3,16.9,3.9,9.9,6.9,19.3,1.5,1.2,10.8,23.3,G,banede01
44,De'Aaron Fox,28.7,2198,24.9,.579,2025-26,28,SAS,71,71,1,6.3,117,113,3.3,3.0,.138,1.5,0.7,2.2,2.3,17.6,2.1,10.6,6.5,29.7,1.9,0.7,12.6,24.9,G,foxde01
45,Bam Adebayo,28.7,2336,25.0,.550,2025-26,28,MIA,72,72,0,6.1,115,112,2.6,3.5,.126,1.4,0.4,1.8,2.3,18.5,6.5,25.7,16.0,14.1,1.6,1.8,8.4,25.0,C-F,adebaba01
46,Chet Holmgren,28.6,1997,21.9,.653,2025-26,23,OKC,69,69,1,9.2,125,104,4.5,4.7,.221,2.4,1.9,4.3,3.2,21.6,7.4,25.3,16.7,8.6,1.0,6.4,10.6,21.9,F-C,holmgch01
47,DeMar DeRozan,28.5,2406,22.8,.594,2025-26,36,SAC,77,77,0,5.6,124,124,5.2,0.4,.112,0.9,-1.0,-0.1,1.1,17.8,1.6,9.2,5.3,20.0,1.6,0.9,7.4,22.8,G-F,derozde01
48,Bennedict Mathurin,28.4,1588,25.1,.577,2025-26,23,INDLAC,53,25,0,2.0,111,119,0.9,1.1,.061,-1.2,-1.4,-2.6,-0.3,14.5,3.7,16.4,10.0,11.5,1.3,0.7,12.6,25.1,G-F,mathube01
49,Bobby Portis,27.8,1619,23.1,.587,2025-26,30,MIL,67,9,0,2.8,114,118,1.6,1.2,.083,1.6,-1.6,0.0,0.8,17.1,6.3,23.5,15.0,10.4,1.2,0.7,7.8,23.1,F-C,portibo01
50,Miles Bridges,27.4,2363,22.4,.571,2025-26,27,CHO,76,76,0,6.5,121,116,4.0,2.5,.131,1.3,-0.1,1.2,1.9,16.1,3.6,17.6,10.7,15.9,1.0,1.3,8.6,22.4,G-F,bridgmi02
51,Evan Mobley,27.3,2074,22.6,.596,2025-26,24,CLE,65,63,0,6.5,120,112,3.6,2.9,.150,1.8,1.2,3.0,2.6,20.0,8.3,22.7,15.5,16.8,1.1,5.2,11.0,22.6,F-C,mobleev01
52,Jarrett Allen,27.2,1519,19.9,.669,2025-26,27,CLE,56,56,0,6.4,132,112,4.2,2.2,.202,2.2,0.4,2.6,1.8,22.1,10.5,23.9,17.2,9.7,1.7,2.9,10.4,19.9,C-F,allenja01
53,Saddiq Bey,27.1,2246,21.6,.579,2025-26,26,NOP,72,64,0,5.4,123,121,4.5,1.0,.116,2.3,-1.8,0.5,1.4,17.1,5.8,13.5,9.6,12.0,1.4,0.3,5.8,21.6,F,beysa01
54,Keldon Johnson,27.0,1890,20.9,.613,2025-26,26,SAS,81,0,0,6.4,125,113,3.8,2.6,.162,1.1,-0.3,0.9,1.4,17.2,7.9,16.5,12.4,8.5,1.2,0.5,7.4,20.9,G,johnske04
55,Stephon Castle,26.9,2008,25.0,.576,2025-26,21,SAS,67,66,0,5.7,116,112,2.8,2.9,.137,1.0,0.9,1.9,2.0,17.4,5.2,13.3,9.4,34.5,1.8,0.8,18.1,25.0,G,castlst01
56,Payton Pritchard,26.7,2556,21.4,.584,2025-26,28,BOS,79,50,0,8.5,126,117,6.1,2.4,.160,2.6,-0.3,2.3,2.7,17.1,3.0,10.3,6.7,23.5,1.1,0.4,8.7,21.4,G,pritcpa01
