Rk,Player,PTS/100 Poss.,MP/G,G,USG%,TS%,Season,Team,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Class,Player-additional
35,Marvin Bagley III,35.3,33.9,33,26.3,.643,2017-18,Duke,33,32,6.9,128,97,4.8,2.1,.248,8.8,2.0,10.8,30.6,13.8,21.5,17.9,8.8,1.4,2.6,12.2,26.3,F,FR,marvin-bagleyiii-1
36,PJ Haggerty,35.2,33.7,31,30.1,.596,2023-24,Tulsa,31,31,5.5,119,102,3.8,1.7,.210,4.9,1.8,6.6,26.5,3.5,14.0,9.0,26.5,3.2,0.1,12.7,30.1,G,FR,pj-haggerty-1
37,Jake Cohen,35.1,22.7,31,32.2,.544,2009-10,Davidson,31,23,2.2,103,102,1.4,0.9,.128,,,,22.1,7.6,18.7,13.0,9.5,1.2,5.7,14.8,32.2,F,FR,jake-cohen-1
38,R.J. Barrett,35.0,35.3,38,32.2,.532,2018-19,Duke,38,38,6.5,110,96,3.8,2.7,.194,6.5,2.1,8.6,23.3,4.8,17.2,11.2,23.5,1.4,1.2,13.2,32.2,F,FR,rj-barrett-1
39,Alex Petrie,35.0,24.9,31,31.5,.578,2017-18,Lafayette,31,21,1.8,105,112,1.4,0.4,.092,2.1,-4.1,-2.0,19.0,1.5,9.5,5.7,7.1,1.1,0.0,12.6,31.5,G,FR,alex-petrie-1
40,R.J. Cole,35.0,37.9,33,33.3,.536,2017-18,Howard,33,32,4.1,109,112,3.4,0.8,.132,3.4,-2.9,0.5,22.2,2.3,9.2,5.7,36.5,2.6,0.0,14.8,33.3,G,FR,rj-cole-1
41,Deandre Ayton,35.0,33.5,35,26.6,.650,2017-18,Arizona,35,35,7.6,130,99,5.5,2.1,.259,8.6,2.4,11.0,32.6,13.5,28.2,21.4,10.2,1.0,6.1,11.3,26.6,F,FR,deandre-ayton-1
42,Ace Glass lll,34.9,27.7,23,29.5,.621,2025-26,Washington State,23,15,2.1,115,115,1.5,0.5,.129,4.2,-1.2,3.0,19.8,2.1,12.2,7.3,17.3,1.6,0.5,16.5,29.5,G,FR,ace-glass-lll-1
43,Jahlil Okafor,34.9,30.1,38,27.6,.641,2014-15,Duke,38,38,6.7,120,95,4.5,2.2,.235,7.7,2.7,10.4,30.7,14.8,18.2,16.6,9.4,1.5,4.5,15.6,27.6,C,FR,jahlil-okafor-1
44,Anthony Lamb,34.7,22.5,35,31.0,.582,2016-17,Vermont,35,35,3.9,109,91,2.0,1.9,.200,1.7,1.3,3.0,25.8,11.2,18.7,15.1,6.7,2.1,5.8,15.4,31.0,F,FR,anthony-lamb-2
45,B.J. Young,34.5,25.2,32,29.2,.603,2011-12,Arkansas,32,7,3.5,113,103,2.6,0.9,.172,7.1,0.6,7.7,24.7,4.0,10.8,7.2,22.0,2.6,1.0,15.5,29.2,G,FR,bj-young-1
46,Anthony Bennett,34.4,27.1,35,27.5,.609,2012-13,UNLV,35,31,5.7,118,90,3.5,2.2,.238,6.1,2.5,8.6,28.3,10.3,24.0,17.1,8.8,1.5,4.6,12.3,27.5,F,FR,anthony-bennett-1
47,D'Angelo Russell,34.4,33.9,35,30.2,.573,2014-15,Ohio State,35,34,6.8,116,95,4.4,2.4,.229,8.6,3.3,11.9,26.6,3.6,15.4,9.8,30.1,2.8,1.1,14.8,30.2,G,FR,dangelo-russell-1
